Verse Text
"Then I looked, and there before me was an open door in heaven. And I heard the same voice that spoke to me before. It was the voice that sounded like a trumpet. It said, “Come up here, and I will show you what must happen after this.”"
"Immediately the Spirit took control of me, and there in heaven was a throne with someone sitting on it."
"The one sitting there was as beautiful as precious stones, like jasper and carnelian. All around the throne was a rainbow with clear colors like an emerald."
"In a circle around the throne were 24 other thrones with 24 elders sitting on them. The elders were dressed in white, and they had golden crowns on their heads."
"Lightning flashes and noises of thunder came from the throne. Before the throne there were seven lamps burning, which are the seven Spirits of God."
"Also before the throne there was something that looked like a sea of glass, as clear as crystal."
The first living being was like a lion. The second was like a bull. The third had a face like a man. The fourth was like a flying eagle.
"Each of these four living beings had six wings. They were covered all over with eyes, inside and out. Day and night they never stopped saying,"
"These living beings were giving glory and honor and thanks to the one who sits on the throne, the one who lives forever and ever. And every time they did this,"
"the 24 elders bowed down before the one who sits on the throne. They worshiped him who lives forever and ever. They put their crowns down before the throne and said,"
“Our Lord and God!
